"Characteristic","Value"
"Patients, n","15338"
"Age, years, median (IQR)","51.0 (37.0–65.0)"
"Sex, n (%)",""
"  Male","8550 (55.7%)"
"  Female","6788 (44.3%)"
"WHO Grade, n (%)",""
"  II","7929 (51.7%)"
"  III","7409 (48.3%)"
"Charlson–Deyo score, median (IQR)","0.0 (0.0–0.0)"
"  0","12311 (80.3%)"
"  1","1950 (12.7%)"
"  2","747 (4.9%)"
"  3","330 (2.2%)"
"Tumor size category, n (%)",""
"  <=3 cm","2856 (18.6%)"
"  3–6 cm","4946 (32.2%)"
"  >6 cm","1716 (11.2%)"
"  Unknown","5820 (37.9%)"
"Race, n (%)",""
"  White","13585 (88.6%)"
"  Black","986 (6.4%)"
"  Other/Unknown","767 (5.0%)"
"Follow-up time, months, median (IQR)","34.1 (8.3–85.2)"
